Default/Custom-op10;GpuOps;1724861689765506196,90.656 1724861689948031906,100.032 1724861690089327875,101.312 1724861690253432550,94.496 1724861690394661809,98.08 1724861690557547988,102.496 1724861690698597180,105.536 1724861690857974766,95.456 1724861691017436334,99.104 1724861691158560504,99.488 1724861691299747424,96.288 1724861691441113437,95.552 1724861691605462875,102.336 1724861691746681459,104.544 1724861691894257467,96.928 
Default/FillV2-op9;GpuOps;1724861689761667531,18.432 1724861689761760581,16.224 1724861689947780329,17.6 1724861689947865970,16.608 1724861690089078604,19.488 1724861690089167337,14.592 1724861690253200505,16.928 1724861690253283162,18.24 1724861690394429601,18.496 1724861690394513954,14.816 1724861690557315600,18.4 1724861690557400835,14.912 1724861690698361895,20.16 1724861690698450776,15.552 1724861690857746450,16.64 1724861690857830667,15.104 1724861691017201869,18.048 1724861691017290078,16.224 1724861691158321877,20.96 1724861691158408876,19.52 1724861691299511725,21.216 1724861691299603673,15.584 1724861691440881543,17.856 1724861691440967874,33.984 1724861691605226323,20.8 1724861691605312556,15.296 1724861691746438115,19.584 1724861691746533232,15.712 1724861691894024072,17.344 1724861691894109619,14.816 
Default/Custom-op8;GpuOps;1724861689761503496,93.12 1724861689947591665,106.656 1724861690088898045,100.544 1724861690253019130,97.152 1724861690394241157,104.512 1724861690557126583,105.504 1724861690698182075,101.504 1724861690857559248,104.608 1724861691017016090,103.04 1724861691158137587,102.336 1724861691299322860,107.968 1724861691440699397,102.176 1724861691605039372,105.44 1724861691746253788,106.784 1724861691893841139,101.376 
Default/Custom-op6;GpuOps;1724861689761131617,121.728 1724861689946869058,105.952 1724861690088166449,115.584 1724861690252287377,112.32 1724861690393511718,115.744 1724861690556392740,114.016 1724861690697442948,119.712 1724861690856831741,113.632 1724861691016280952,110.976 1724861691157416549,115.936 1724861691298616541,123.392 1724861691439979874,192.384 1724861691604317430,116.704 1724861691745517079,116.928 1724861691893105600,113.056 
Default/Custom-op11;GpuOps;1724861689765743676,81.344 1724861689948283897,72.48 1724861690089586531,71.84 1724861690253684441,70.464 1724861690394917293,79.584 1724861690557803562,81.216 1724861690698856720,76 1724861690858221820,76.256 1724861691017691258,79.008 1724861691158818183,78.016 1724861691300003401,80.032 1724861691441363160,71.488 1724861691605725579,71.84 1724861691746944195,77.44 1724861691894512744,72.512 
Default/FillV2-op2;GpuOps;1724861689726234369,38.464 1724861689943591596,61.344 1724861690087337548,61.152 1724861690251431584,58.24 1724861690392676354,63.232 1724861690555529019,58.336 1724861690696614339,58.784 1724861690855911141,71.072 1724861691015414145,56.608 1724861691156588451,56.064 1724861691297768553,58.88 1724861691439147678,54.784 1724861691603429223,60.576 1724861691744684001,57.472 1724861691885882798,6460.06 
Default/Custom-op18;GpuOps;1724861689946272153,236.224 1724861690087565442,238.336 1724861690251662347,237.056 1724861690392918718,241.6 1724861690555761517,252.768 1724861690696845519,247.072 1724861690856186708,254.464 1724861691015656941,248.448 1724861691156810478,257.216 1724861691298009265,255.2 1724861691439367078,260.064 1724861691603682132,250.752 1724861691744910580,250.944 1724861691892537025,211.712 
Default/Custom-op14;GpuOps;1724861689772410657,3318.53 1724861689948841498,352.544 1724861690090124054,349.568 1724861690254236520,348.544 1724861690395470807,350.848 1724861690558339394,353.248 1724861690699387275,351.808 1724861690858760868,351.968 1724861691018252126,353.6 1724861691159355015,358.4 1724861691300563418,369.44 1724861691441904126,340.352 1724861691606260559,358.784 1724861691747490653,358.912 1724861691895057162,348.192 
Default/MatMul-op0;GpuOps;1724861689716154656,304 
Default/Custom-op16;GpuOps;1724861689780083324,83.936 1724861689949882355,72.48 1724861690091165157,76.704 1724861690255268713,76.896 1724861690396519977,78.112 1724861690559393105,79.2 1724861690700449515,78.528 1724861690859797812,79.008 1724861691019308265,77.376 1724861691160404631,76.192 1724861691301626473,81.504 1724861691442910483,74.272 1724861691607304605,76.736 1724861691748555289,80.96 1724861691896095195,74.88 
Default/FillV2-op7;GpuOps;1724861689761340023,20.352 1724861689947350756,20.832 1724861690088652037,20.352 1724861690252764876,18.976 1724861690393990332,21.664 1724861690556880701,20.16 1724861690697924446,21.984 1724861690857302602,19.84 1724861691016764146,22.752 1724861691157891049,23.488 1724861691299080860,22.304 1724861691440449530,22.304 1724861691604790911,21.312 1724861691745999263,20.416 1724861691893593700,19.008 
Default/Custom-op12;GpuOps;1724861689772139880,77.76 1724861689948513375,70.176 1724861690089784854,67.968 1724861690253912291,67.872 1724861690395144361,72.704 1724861690558017949,73.376 1724861690699063807,77.408 1724861690858430205,67.424 1724861691017921092,74.72 1724861691159029372,68.864 1724861691300233760,80.16 1724861691441582135,74.208 1724861691605926645,73.024 1724861691747157340,71.968 1724861691894729808,74.624 
Default/Equal-op15;GpuOps;1724861689775824934,49.28 1724861689949273878,31.84 1724861690090551410,32.288 1724861690254665322,29.44 1724861690395897033,30.592 1724861690558774054,32 1724861690699819928,32.224 1724861690859191479,28.832 1724861691018687181,28.864 1724861691159792263,32.384 1724861691301010693,31.744 1724861691442322454,27.328 1724861691606700740,31.2 1724861691747929306,37.248 1724861691895485482,28 
Default/FillV2-op5;GpuOps;1724861689753383505,27.168 1724861689753501992,18.016 1724861689765663438,17.728 1724861689765905117,21.28 1724861689946586479,27.616 1724861689946685275,16.832 1724861689948215237,17.44 1724861689948432424,17.344 1724861690087883823,23.936 1724861690087987965,16.32 1724861690089514482,18.368 1724861690089718503,15.904 1724861690251992484,27.264 1724861690252115164,16.16 1724861690253608109,20.864 1724861690253818066,16.032 1724861690393237513,26.656 1724861690393338713,17.504 1724861690394843207,16.736 1724861690395060112,16.352 1724861690556102167,27.84 1724861690556205770,16.608 1724861690557733165,17.952 1724861690557945409,19.456 1724861690697173812,26.784 1724861690697272965,16.384 1724861690698784372,17.408 1724861690698996025,16.32 1724861690856535092,28.896 1724861690856660248,18.656 1724861690858152098,16.192 1724861690858361070,16.896 1724861691015999550,29.504 1724861691016105045,15.584 1724861691017618025,18.72 1724861691017835039,16.48 1724861691157153569,27.776 1724861691157250332,16 1724861691158745558,18.24 1724861691158959224,16.032 1724861691298350067,26.976 1724861691298452387,17.344 1724861691299925487,23.616 1724861691300150792,15.968 1724861691439706139,24.512 1724861691439803641,15.872 1724861691441292410,17.6 1724861691441496262,17.28 1724861691604035454,28.032 1724861691604142624,17.28 1724861691605652048,19.136 1724861691605859430,16.352 1724861691745248001,25.92 1724861691745356171,16.704 1724861691746871298,17.504 1724861691747088928,16.416 1724861691892833381,27.936 1724861691892937159,16.32 1724861691894440281,16.992 1724861691894646699,15.616 
Default/FillV2-op13;GpuOps;1724861689772292254,19.936 1724861689948667006,26.624 1724861690089943323,22.592 1724861690254053954,22.848 1724861690395291740,22.272 1724861690558153618,27.008 1724861690699220812,22.432 1724861690858575198,25.792 1724861691018078696,23.392 1724861691159181713,23.104 1724861691300398831,22.112 1724861691441727063,22.976 1724861691606082219,24.608 1724861691747323085,23.488 1724861691894874911,22.88 
Default/MatMul-op1;GpuOps;1724861689716567314,68.416 1724861689716747903,56.224 1724861689716873737,57.6 1724861689716996337,49.632 1724861689717106625,48.576 1724861689717219807,50.144 1724861689717330210,47.168 1724861689717436728,54.688 1724861689717551722,47.712 1724861689717662764,47.968 1724861689717769945,46.368 1724861689717874252,49.376 1724861689717986178,47.328 1724861689718092209,45.472 
Default/FillV2-op3;GpuOps;1724861689726355116,17.408 1724861689761415820,14.816 1724861689943747495,17.248 1724861689947458865,15.36 1724861690087489512,15.808 1724861690088760866,19.456 1724861690251584156,19.232 1724861690252873511,15.104 1724861690392837291,18.72 1724861690394096007,16.64 1724861690555682241,18.784 1724861690556986292,18.496 1724861690696766562,19.648 1724861690698038778,17.312 1724861690856076269,44.672 1724861690857422322,15.552 1724861691015564691,17.376 1724861691016879825,16.416 1724861691156734276,19.2 1724861691157999374,16.448 1724861691297923365,17.888 1724861691299187701,17.824 1724861691439289231,18.208 1724861691440563872,18.208 1724861691603589865,18.784 1724861691604903134,17.12 1724861691744833486,18.816 1724861691746111770,16.032 1724861691892453483,26.4 1724861691893698207,17.152 
Default/Reshape-op17;GpuOps;1724861689780259240,22.944 1724861689950142554,24.992 1724861690091407829,25.184 1724861690255523489,28.16 1724861690396767073,24 1724861690559636612,23.68 1724861690700694686,25.504 1724861690860054555,24.96 1724861691019550721,24.544 1724861691160651975,26.016 1724861691301887196,25.76 1724861691443178658,24.48 1724861691607553236,26.112 1724861691748804465,24.672 1724861691896340765,23.744 
Default/Custom-op4;GpuOps;1724861689726585927,26611 
